pff_rank,player_name,position,school,pff_grade,pff_waa,analysis,player_id,match_type,matched_team_name
331,Emmanuel Henderson Jr.,WR,Kansas,70.9,,,163595,exact,kansas
332,Logan Diggs,RB,Mississippi,70.1,,,147475,exact,ole miss
333,Jaden Dugger,LB,Louisiana,63.5,,,162137,name_pos,la lafayet
334,Jaren Kump,IOL,Utah,66.3,,,131859,exact,utah
335,Mark Gronowski,QB,Iowa,83.3,,,138303,exact,iowa
336,Donavon Greene,WR,Virginia Tech,59.0,,,97813,name_pos,va tech
337,Bobby Jamison-Travis,DT,Auburn,78.2,,,175881,exact,auburn
338,Izavion Miller,IOL,Auburn,63.7,,,172459,exact,auburn
339,Jimmy Rolder,LB,Michigan,72.2,,,162825,exact,michigan
340,Anthony Smith,WR,East Carolina,72.4,,,122885,name_pos,e carolina
341,Dillon Wade,IOL,Auburn,59.6,,,123265,exact,auburn
342,Febechi Nwaiwu,IOL,Oklahoma,69.7,,,145324,exact,oklahoma
343,Wesley Bissainthe,LB,Miami (FL),64.7,,,156341,exact,miami
344,DaShawn Jones,CB,Alabama,64.1,,,144195,exact,alabama
345,Ahmaad Moses,S,SMU,70.4,,,158276,exact,smu
346,Al-Jay Henderson,RB,Buffalo,66.8,,,145676,exact,buffalo
347,Chris Hilton Jr.,WR,LSU,51.6,,,146762,exact,lsu
348,Bauer Sharp,TE,LSU,47.9,,,150160,exact,lsu
349,Mason Randolph,IOL,Boise State,70.1,,,145991,name_pos,boise st
350,Dean Miller,EDGE,Kansas,70.4,,,163813,exact,kansas
351,Jaylon Guilbeau,CB,Texas,65.4,,,157307,exact,texas
352,Tyler Onyedim,DT,Texas A&M,71.9,,,144547,exact,texas aandm
353,Gunner Maldonado,S,Kansas State,65.9,,,129727,exact,kansas state
354,Tanner Arkin,TE,Illinois,68.7,,,146008,exact,illinois
355,Garrett DiGiorgio,IOL,UCLA,67.2,,,146395,exact,ucla
356,Mark Petry,IOL,Syracuse,,,,,,
357,Mo Westmoreland,EDGE,Tulane,79.2,,,157883,exact,tulane
358,Evan Beerntsen,IOL,Northwestern,79.3,,,103865,exact,northwestern
359,Kendal Daniels,S,Oklahoma,77.4,,,144668,exact,oklahoma
360,DQ Smith,S,South Carolina,68.0,,,158116,exact,south carolina
361,Maverick McIvor,QB,Western Kentucky,73.2,,,99476,name_pos,w kentucky
362,Devin Mockobee,RB,Purdue,73.7,,,145111,exact,purdue
363,Avery Smith,CB,Toledo,70.6,,,157000,exact,toledo
364,Devonte Ross,WR,Penn State,70.3,,,146735,exact,penn state
365,Jimmori Robinson,EDGE,West Virginia,51.3,,,145523,name_pos,w virginia
366,Karson Sharar,LB,Iowa,76.1,,,144873,exact,iowa
367,Rohan Jones,TE,Arkansas,90.3,,,159125,exact,arkansas
368,Tristan Leigh,OT,Clemson,49.5,,,144121,exact,clemson
369,Matt Gulbin,IOL,Michigan State,82.6,,,144191,name_pos,mich state
370,Daniel King,IOL,North Carolina,66.3,,,156877,exact,north carolina
371,Barion Brown,WR,LSU,68.5,,,163779,exact,lsu
372,Donaven McCulley,WR,Michigan,66.6,,,144829,exact,michigan
373,Marvin Jones Jr.,EDGE,Oklahoma,58.2,,,163745,exact,oklahoma
374,Enrique Cruz Jr.,OT,Kansas,70.3,,,144041,exact,kansas
375,Marcus Allen,CB,North Carolina,64.1,,,162743,exact,north carolina
376,David Gusta,DT,Kentucky,76.3,,,146524,exact,kentucky
377,JJ Johnson,S,North Carolina State,56.4,,,156702,exact,north carolina state
378,Will Kacmarek,TE,Ohio State,77.5,,,145896,exact,ohio state
