player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Waisale Muavesi,128364,DI,UNLV,2,0,,0,0,325,,57.8,77.4,58.2,57.5,70.2,,0,0,14,15,0.0,0,0
Brennon Scott,128370,ED,UNLV,2,0,,0,0,325,,52.8,75.8,60.1,49.8,75.7,,0,0,4,5,0.0,0,0
Nohl Williams,128375,CB,CAL,13,7,6.1,1,1,130,78.2,80.0,86.6,60.0,78.7,81.0,5.6,1,3,335,341,0.6,2,10
James Hansen,128381,DI,TEXAS TECH,9,0,2.0,0,0,315,,52.6,81.4,57.9,49.8,28.5,33.3,1,0,79,80,1.3,1,2
Mata Hola,128383,ED,S JOSE ST,6,2,2.0,0,0,285,60.0,58.1,79.6,58.4,56.7,76.8,0.0,0,0,40,41,0.0,0,1
Jakob Robinson,128395,CB,BYU,13,4,2.0,0,1,128,72.5,74.4,89.4,74.8,69.9,71.4,25.0,5,0,335,340,2.4,8,11
Poukesi Vakauta,128401,DI,COLO STATE,2,0,,0,0,144,,38.4,75.0,57.5,36.3,,,0,0,19,20,0.0,0,0
Crew Wakley,128402,S,BYU,11,8,9.5,0,1,128,71.5,72.1,83.3,68.7,70.0,68.3,25.8,8,0,156,161,2.6,4,15
Wyett Ekeler,128411,S,WYOMING,9,4,8.4,0,0,351,44.7,49.6,86.8,57.3,56.0,62.5,20.6,7,2,266,275,3.8,10,23
Sabastian Harsh,128416,ED,WYOMING,8,6,4.3,0,0,351,66.7,74.8,5.1,75.1,75.3,51.3,17.1,6,4,165,171,10.3,17,23
Gavin Meyer,128421,DI,USC,13,8,2.5,0,0,326,57.3,69.9,84.6,65.7,71.7,52.2,13.3,4,0,194,195,6.7,13,18
Oluwaseyi Omotosho,128425,ED,OREGON ST,7,5,9.8,0,0,265,37.9,67.2,48.1,78.4,59.7,54.4,18.2,2,1,80,83,1.3,1,4
Connor Shay,128430,LB,WYOMING,12,23,5.1,0,0,351,80.3,73.8,59.3,78.7,63.0,68.7,9.5,7,1,356,368,7.3,26,44
Braden Siders,128432,ED,WYOMING,7,4,4.7,0,0,351,63.8,69.7,85.1,65.7,68.4,53.2,15.8,3,0,141,143,4.3,6,12
Cam Stone,128434,CB,HAWAII,12,1,20.5,0,0,180,90.3,90.1,85.5,60.0,68.5,85.1,12.5,1,1,259,266,0.8,2,6
Read Sunn,128435,LB,WYOMING,5,0,5.0,0,0,351,63.5,65.9,73.9,,64.9,77.6,0.0,0,0,18,19,11.1,2,3
