model_rank,player_name,position,school,final_grade,round_value,consensus_rank,formula_score,pick_score,best_team_fit
285,Terion Stewart,RB,Virginia Tech Hokies,64.8,UDFA,421,75.58,,DAL
286,Vincent Anthony Jr.,EDGE,Duke Blue Devils,69.6,Round 6-7,340,75.53,,ATL
287,DJ Harvey,CB,USC Trojans,66.5,UDFA,393,76.15,,JAX
288,Lake McRee,TE,USC Trojans,64.42,UDFA,429,75.08,,LAC
289,Bryce Boettcher,LB,Oregon Ducks,73.94,Round 5-6,245,78.41,,LAR
290,Devonta Smith,CB,Notre Dame Fighting Irish,70.57,Round 6-7,322,77.44,,JAX
291,Dametrious Crownover,OT,Texas A&M Aggies,68.84,Round 6-7,358,74.23,,LAR
292,Ephesians Prysock,CB,Washington Huskies,69.45,Round 6-7,346,74.83,,JAX
293,Rahsul Faison,RB,South Carolina Gamecocks,65.37,UDFA,413,75.83,,DAL
294,Josh Cameron,WR,Baylor Bears,68.57,Round 6-7,361,74.52,,CLE
295,Ceyair Wright,CB,Nebraska Cornhuskers,67.58,UDFA,372,76.33,,JAX
296,Ricardo Jones Jr.,CB,Purdue,76.28,Round 4-5,174,76.62,,JAX
297,Reggie Virgil,WR,Texas Tech Red Raiders,69.87,Round 6-7,336,75.48,,CLE
298,Domani Jackson,CB,Alabama,71.18,Round 6-7,306,76.47,,JAX
299,Denairius Gray,CB,Florida,76.43,Round 4-5,168,76.77,,JAX
300,James Thompson Jr.,DT,Illinois Fighting Illini,71.22,Round 6-7,304,77.77,,HOU
301,Fa'alili Fa'amoe,OT,Wake Forest Demon Deacons,69.47,Round 6-7,345,75.68,,LAR
302,Samari Matthews,CB,Texas A&M,76.22,Round 4-5,176,76.56,,JAX
303,Luke Altmyer,QB,Illinois Fighting Illini,67.65,UDFA,370,75.87,,LV
304,Ashton Stamps,CB,LSU,75.77,Round 5-6,196,76.11,,JAX
305,Vinny Anthony II,WR,Wisconsin Badgers,66.66,UDFA,392,74.25,,CLE
306,Jeremiah Wilson,CB,Florida State,75.91,Round 5-6,192,76.25,,JAX
307,Deven Eastern,DT,Minnesota Golden Gophers,64.65,UDFA,425,71.03,,HOU
308,Eli Heidenreich,RB,Navy Midshipmen,71.94,Round 6-7,290,77.83,,DAL
309,Tyreak Chappell,CB,South Carolina,76.17,Round 4-5,179,76.51,,JAX
310,Sawyer Robertson,QB,Baylor Bears,64.73,UDFA,423,72.94,,LV
311,Rayshaun Benny,DT,Michigan Wolverines,69.96,Round 6-7,335,74.77,,HOU
312,Lewis Bond,WR,Boston College Eagles,70.42,Round 6-7,324,77.55,,CLE
313,Taylen Green,QB,Arkansas Razorbacks,73.18,Round 5-6,262,80.88,,LV
314,Kaelon Black,RB,Indiana Hoosiers,72.25,Round 5-6,282,77.47,,DAL
315,Ja'Keem Jackson,CB,Florida,76.3,Round 4-5,173,76.64,,JAX
316,Ethan Onianwa,IOL,Ohio State Buckeyes,65.4,UDFA,412,75.63,,DET
317,Jordan Shaw,CB,Washington,75.93,Round 5-6,191,76.27,,JAX
318,TJ Hall,CB,Iowa Hawkeyes,64.79,UDFA,422,70.96,,JAX
319,Lorenzo Styles Jr.,CB,Ohio State,79.39,Round 4-5,62,79.73,,JAX
320,Jeadyn Lukus,CB,Clemson Tigers,68.31,Round 6-7,364,76.16,,JAX
321,Kani Walker,CB,Oregon,75.9,Round 5-6,193,76.24,,JAX
322,Xavian Sorey Jr.,LB,Arkansas Razorbacks,64.85,UDFA,418,71.28,,LAR
